grapheme	phoneme
แอสไพริน	ʔ ɛː s ˦˥ . pʰ aj ˧ . r i n ˧
หยำฉ่า	j a m ˩˩˦ . t͡ɕʰ aː ˨˩
ทาน	tʰ aː n ˧ . n a ˦˥ .
การเกรง	k aː n ˧ . k r eː ŋ ˧
ลาวเบิ้ง	l aːw ˧ . b ɤ ŋ ˥˩
ถลอก	tʰ a ˨˩ . l ɔː k̚ ˨˩
รีเนียม	r iː ˧ . n ia̯ m ˥˩
อินดีแอนา	ʔ i n ˧ . d iː ˧ . ʔ ɛː ˧ . n aː ˥˩
สัญญาซื้อขายล่วงหน้า	s a n ˩˩˦ . j aː ˧ . s ɯː ˦˥ . kʰ aːj ˩˩˦ . l ua̯ ŋ ˥˩ . n aː ˥˩
ยุกระบัด	j u k̚ ˦˥ . k r a ˨˩ . b a t̚ ˨˩
บริดจ์	b r i t̚ ˨˩
พยาบาท	pʰ a ˦˥ . j aː ˧ . b aː t̚ ˨˩
กุหลาบ	k u ˨˩ . l aː p̚ ˨˩
กกุสันธ	k a ˨˩ . k u ˨˩ . s a n ˩˩˦ . tʰ aʔ ˦˥
เจ้าพญา	t͡ɕ aːw ˥˩ . pʰ a ˦˥ . j aː ˧
หนังตะลุง	n a ŋ ˩˩˦ . t a ˨˩ . l u ŋ ˧
ผศ.	pʰ ɔː ˩˩˦ . s ɔː ˩˩˦
งอบ	ŋ ɔː p̚ ˥˩
หล่อหลอม	l ɔː ˨˩ . l ɔː m ˩˩˦
ปัจจัย	p a t̚ ˨˩ . t͡ɕ aj ˧
คนทำความสะอาด	kʰ o n ˧ . tʰ a m ˧ . kʰ w aː m ˧ . s a ˨˩ . ʔ aː t̚ ˨˩
ควัน	kʰ w a n ˧
อมฤต	ʔ a ˨˩ . m a ˦˥ . r i t̚ ˦˥ . t a ˨˩ .
นาฏ	n aː t̚ ˥˩
อินเนอร์	ʔ i n ˧ . n ɤː ˥˩
วิบัติ	w i ˦˥ . b a t̚ ˨˩ . t i ˨˩ .
งอม	ŋ ɔ m ˧
ที่ประกาศ	tʰ iː ˥˩ . p r a ˨˩ . k aː t̚ ˨˩
อย่างเช่น	j aː ŋ ˨˩ . t͡ɕʰ eː n ˥˩
มุคธ์	m u k̚ ˦˥
ระวิง	r a ˦˥ . w i ŋ ˧
นิมิต	n i ˦˥ . m i t̚ ˦˥
ค่อม	kʰ ɔ m ˥˩
อุปราช	ʔ u ˨˩ . p a ˨˩ . r aː t̚ ˨˩
ออร์เคสตรา	ʔ ɔː ˧ . kʰ eː s ˥˩ . t r aː ˧
สัญญาณไฟจราจร	s a n ˩˩˦ . j aː n ˧ . f aj ˧ . t͡ɕ a ˨˩ . r aː ˧ . t͡ɕ ɔː n ˧
ดั้น	d a n ˥˩
เหลือง	lɯ a̯ ŋ ˩˩˦
ทรงแปดหน้า	s o ŋ ˧ . p ɛː t̚ ˨˩ . n aː ˥˩
ล้มเหลว	l o m ˦˥ . l eːw ˩˩˦
อือออ	ʔ ɯː ˧ . ʔ ɔː ˧
โรเนียว	r oː ˧ . n ia̯w ˧
จดจำ	t͡ɕ o t̚ ˨˩ . t͡ɕ a m ˧
แสตมป์	s a ˨˩ . t ɛː m ˧
เข็ญใจ	kʰ e n ˩˩˦ . t͡ɕ aj ˧
นักประวัติศาสตร์	n a k̚ ˦˥ . p r a ˨˩ . w a t̚ ˨˩ . s aː t̚ ˨˩
รุนแรง	r u n ˧ . r ɛː ŋ ˧
คันถธุระ	kʰ a n ˧ . tʰ a ˨˩ . tʰ u ˦˥ . r aʔ ˦˥
กาลเทศะ	k aː ˧ . l a ˦˥ . tʰ eː ˧ . s aʔ ˨˩
สาร	s aː n ˩˩˦
กะโหลก	k a ˨˩ . l oː k̚ ˨˩
ขึ้น	kʰ ɯ n ˥˩
ยี่ห้อ	j iː ˥˩ . h ɔː ˥˩
กันชน	k a n ˧ . t͡ɕʰ o n ˧
นครวัด	n a ˦˥ . kʰ ɔː n ˧ . w a t̚ ˦˥
เครื่องร่อน	kʰ rɯ a̯ ŋ ˥˩ . r ɔ n ˥˩
ผู้ประกอบการ	pʰ uː ˥˩ . p r a ˨˩ . k ɔː p̚ ˨˩ . k aː n ˧
พอลินีเชีย	pʰ ɔː ˧ . l i ˦˥ . n iː ˧ . t͡ɕʰ ia̯ ˧
ลูกเขยตายแม่ยายทำศพ	l uː k̚ ˥˩ . kʰ ɤːj ˩˩˦ . t aːj ˧ . m ɛː ˥˩ . j aːj ˧ . tʰ a m ˧ . s o p̚ ˨˩
อาณา	ʔ aː ˧ . n aː ˧
กอ	k ɔː ˧
เงื่อน	ŋ ɯa̯ n ˥˩
ฌาน	t͡ɕʰ aː n ˧
รอมร่อ	r ɔː m ˧ . m a ˦˥ . r ɔː ˥˩
ถ่าย	tʰ aːj ˨˩
กระปุก	k r a ˨˩ . p u k̚ ˨˩
สันตะปาปา	s a n ˩˩˦ . t a ˨˩ . p aː ˧ . p aː ˧
เบือน	b ɯa̯ n ˧
อโหสิกรรม	ʔ a ˨˩ . h oː ˩˩˦ . s i ˨˩ . k a m ˧
ดี	d i
ชา	t͡ɕʰ aː ˧
ภูติ	pʰ uː ˧ . t i ʔ ˨˩
กองมรดก	k ɔː ŋ ˧ . m ɔː ˧ . r a ˦˥ . d o k̚ ˨˩
การรีดเอาทรัพย์	k aː n ˧ . r iː t̚ ˥˩ . ʔ aw ˧ . s a p̚ ˦˥
สระ	s aʔ ˨˩
หม่น	m o n ˨˩
งวง	ŋ ua̯ ŋ ˧
สาธารณะ	s aː ˩˩˦ . tʰ aː ˧ . r a ˦˥ . n aʔ ˦˥
จุ	t͡ɕ u ʔ ˨˩
ร่อง	r ɔ ŋ ˥˩
เปิดโปง	p ɤː t̚ ˨˩ . p oː ŋ ˧
บรอกโคลี	b r ɔ k̚ ˦˥ . kʰ oː ˧ . l iː ˥˩
ผิวขาว	pʰ iw ˩˩˦ . kʰ aːw ˩˩˦
การสอน	k aː n ˧ . s ɔː n ˩˩˦
ทองแผ่นเดียวกัน	tʰ ɔː ŋ ˧ . pʰ ɛ n ˨˩ . d ia̯w ˧ . k a n ˧
บรรลัย	b a n ˧ . l aj ˧
เสื้อแสง	s ɯa̯ ˥˩ . s ɛː ŋ ˩˩˦
เกี๊ยว	k ia̯w ˦˥
เซ	s eː ˧
เท็จ	tʰ e t̚ ˦˥
เจตนา	t͡ɕ eː t̚ ˨˩ . t a ˨˩ . n aː ˧
ปรนนิบัติ	p r o n ˧ . n i ˦˥ . b a t̚ ˨˩
จำนวนธรรมชาติ	t͡ɕ a m ˧ . n ua̯ n ˧ . tʰ a m ˧ . m a ˦˥ . t͡ɕʰ aː t̚ ˥˩
ชำระ	t͡ɕʰ a m ˧ . r aʔ ˦˥
เผือ	pʰ ɯa̯ ˩˩˦
โต้คลื่น	t oː ˥˩ . kʰ lɯː n ˥˩
หยุด	j u t̚ ˨˩
หัตถี	h a t̚ ˨˩ . tʰ iː ˩˩˦
ศัลยกรรมเสริมสวย	s a n ˩˩˦ . l a ˦˥ . j a ˦˥ . k a m ˧ . s ɤː m ˩˩˦ . s ua̯j ˩˩˦
การผ่าเหล่า	k aː n ˧ . pʰ aː ˨˩ . l aw ˨˩
หดหู่	h o t̚ ˨˩ . h uː ˨˩
มันเลือดนก	m a n ˧ . lɯ a̯ t̚ ˥˩ . n o k̚ ˦˥
สตาร์บัคส์	s a ˨˩ . t aː ˧ . b a k̚ ˨˩
ประการ	p r a ˨˩ . k aː n ˧
นักเขียน	n a k̚ ˦˥ . kʰ ia̯ n ˩˩˦
สู่ขอ	s uː ˨˩ . kʰ ɔː ˩˩˦
มาจาก	m aː ˧ . t͡ɕ aː k̚ ˨˩
สตรีนิยม	s a ˨˩ . t r iː ˧ . n i ˦˥ . j o m ˧
บัวโนสไอเรส	b ua̯ ˧ . n oː s ˦˥ . ʔ aj ˧ . r eː s ˦˥
ออสโล	ʔ ɔː s ˦˥ . l oː ˧
เรียน	r ia̯ n ˧
ผู้ร้าย	pʰ uː ˥˩ . r aːj ˦˥
คลาน	kʰ l aː n ˧
กระดาษเช็ดปาก	k r a ˨˩ . d aː t̚ ˨˩ . t͡ɕʰ e t̚ ˦˥ . p aː k̚ ˨˩
ภาษา	pʰ aː ˧ . s aː ˩˩˦
ขั้นตอน	kʰ a n ˥˩ . t ɔː n ˧
ราญ	r aː n ˧
สังคม	s a ŋ ˩˩˦ . kʰ o m ˧ . m a ˦˥ .
สังเวย	s a ŋ ˩˩˦ . w ɤːj ˧
ยาตรา	j aː t̚ ˥˩ . t r aː ˧
คอร์รัปชั่น	kʰ ɔː ˧ . r a p̚ ˦˥ . t͡ɕʰ a n ˥˩
ลิสง	l i ˦˥ . s o ŋ ˩˩˦
กังหัน	k a ŋ ˧ . h a n ˩˩˦
รหัส	r a ˦˥ . h a t̚ ˨˩
แด	d ɛː ˧
ไพบูลย์	pʰ aj ˧ . b uː n ˧
ฉบับ	t͡ɕʰ a ˨˩ . b a p̚ ˨˩
น่าสนใจ	n aː ˥˩ . s o n ˩˩˦ . t͡ɕ aj ˧
ลิ่น	l i n ˥˩
หมาหวงก้าง	m aː ˩˩˦ . h ua̯ ŋ ˩˩˦ . k aː ŋ ˥˩
สมิง	s a ˨˩ . m i ŋ ˩˩˦
เลี้ยว	l ia̯w ˦˥
ปากปลาร้า	p aː k̚ ˨˩ . p l aː ˧ . r aː ˦˥
ความศรัทธา	kʰ w aː m ˧ . s a t̚ ˨˩ . tʰ aː ˧
สวัสดี	s a ˨˩ . w a t̚ ˨˩ . d iː ˧
ลูกไฟ	l uː k̚ ˥˩ . f aj ˧
เซาะ	s ɔʔ ˦˥
แม่หยัวเมือง	m ɛː ˥˩ . j ua̯ ˩˩˦ . m ɯa̯ ŋ ˧
น้ำพุ	n aː m ˦˥ . pʰ u ʔ ˦˥
ชาเย็น	t͡ɕʰ aː ˧ . j e n ˧
บรมราชา	b ɔː ˧ . r o m ˧ . r aː ˧ . t͡ɕʰ aː ˧
พยาธิ	pʰ a ˦˥ . j aː ˧ . tʰ i ˦˥ .
ระอา	r a ˦˥ . ʔ aː ˧
ไทเบิ้ง	tʰ aj ˧ . b ɤ ŋ ˥˩
ฟาดแข้ง	f aː t̚ ˥˩ . kʰ ɛ ŋ ˥˩
แซ่บ	s ɛ p̚ ˥˩
เมธ	m eː t̚ ˥˩
เป็ดปักกิ่ง	p e t̚ ˨˩ . p a k̚ ˨˩ . k i ŋ ˨˩
ร่างทรง	r aː ŋ ˥˩ . s o ŋ ˧
โอโจ้	ʔ oː ˧ . t͡ɕ oː ˥˩
ปุ๊บ	p u p̚ ˦˥
นาคี	n aː ˧ . kʰ iː ˧
วัตต์	w a t̚ ˨˩
แคปปา	kʰ ɛ p̚ ˦˥ . p aː ˥˩
สิขี	s i ˨˩ . kʰ iː ˩˩˦
พิษณุโลก	pʰ i t̚ ˦˥ . s a ˨˩ . n u ˦˥ . l oː k̚ ˥˩
รึ	r ɨ ʔ
มาดริด	m aː t̚ ˦˥ . d r i t̚ ˨˩
ทรอมโบน	tʰ r ɔ m ˧ . b oː n ˧
ไร่นา	r aj ˥˩ . n aː ˧
ท้องฟ้า	tʰ ɔː ŋ ˦˥ . f aː ˦˥
ถล่ม	tʰ a ˨˩ . l o m ˨˩
เสแสร้ง	s eː ˩˩˦ . s ɛː ŋ ˥˩
หมัก	m a k̚ ˨˩
ทศมี	tʰ a ˦˥ . s a ˨˩ . m iː ˧
ปากเก่ง	p aː k̚ ˨˩ . k e ŋ ˨˩
เกลศ	k a ˨˩ . l eː t̚ ˨˩ .
ยาม้า	j aː ˧ . m aː ˦˥
ว่าความ	w aː ˥˩ . kʰ w aː m ˧
มิคะ	m i ˦˥ . kʰ aʔ ˦˥
ความเว่อร์	kʰ w aː m ˧ . w ɤː ˥˩
โกนาคมนะ	k oː ˧ . n aː ˧ . kʰ a ˦˥ . m a ˦˥ . n aʔ ˦˥
พับเพียบ	pʰ a p̚ ˦˥ . pʰ ia̯ p̚ ˥˩
เครื่องครัว	kʰ rɯ a̯ ŋ ˥˩ . kʰ r ua̯ ˧
ไม้หลักปักขี้ควาย	m aːj ˦˥ . l a k̚ ˨˩ . p a k̚ ˨˩ . kʰ iː ˥˩ . kʰ w aːj ˧
ความทุกข์	kʰ w aː m ˧ . tʰ u k̚ ˦˥
กอก	k ɔ k
ปัญญาประดิษฐ์	p a n ˧ . j aː ˧ . p r a ˨˩ . d i t̚ ˨˩
ขืนใจ	kʰ ɯː n ˩˩˦ . t͡ɕ aj ˧
เริ่มต้น	r ɤː m ˥˩ . t o n ˥˩
บุฟเฟต์	b u p̚ ˦˥ . f eː ˥˩
ออร์ทอดอกซ์	ʔ ɔː ˧ . tʰ ɔː ˧ . d ɔ k̚ ˨˩
ไม่ค่อย	m aj ˥˩ . kʰ ɔj ˥˩
ทรัพยากร	s a p̚ ˦˥ . pʰ a ˦˥ . j aː ˧ . k ɔː n ˧
ระเบิด	r a ˦˥ . b ɤː t̚ ˨˩
พ่อตา	pʰ ɔː ˥˩ . t aː ˧
บัง	b a ŋ ˧
ทางเท้า	tʰ aː ŋ ˧ . tʰ aːw ˦˥
ขอ	kʰ ɔː ˩˩˦
เด๊ดสะมอเร่	d eː t̚ ˦˥ . s a ˨˩ . m ɔː ˧ . r eː ˥˩
ด้าน	d aː n ˥˩
กำแพง	k a m ˧ . pʰ ɛː ŋ ˧
ป่าคอนกรีต	p aː ˨˩ . kʰ ɔ n ˧ . k r iː t̚ ˨˩
สี่เหลี่ยมผืนผ้า	s iː ˨˩ . l ia̯ m ˨˩ . pʰ ɯː n ˩˩˦ . pʰ aː ˥˩
กลาง	k l aː ŋ ˧
อาเจียน	ʔ aː ˧ . t͡ɕ ia̯ n ˧
แมงกานีส	m ɛː ŋ ˧ . k aː ˧ . n iː s ˦˥
กือราเซา	k ɯː ˧ . r aː ˧ . s aw ˧
แทลเลียม	tʰ ɛː l ˧ . l ia̯ m ˥˩
กงกาง	k o ŋ ˧ . k aː ŋ ˧
งุ้ม	ŋ u m ˦˥
ไซบอร์ก	s aj ˧ . b ɔː k̚ ˨˩
เตา	t aw ˧
โป๊ะแตก	p oʔ ˦˥ . t ɛː k̚ ˨˩
อุรังอุตัง	ʔ u ˨˩ . r a ŋ ˧ . ʔ u ˨˩ . t a ŋ ˧
อาการ	ʔ aː ˧ . k aː ˧ . r a ˦˥ .
สำมะโน	s a m ˩˩˦ . m a ˦˥ . n oː ˧
ดวงใจ	d ua̯ ŋ ˧ . t͡ɕ aj ˧
วานรินทร์	w aː ˧ . n a ˦˥ . r i n ˧
นักรบ	n a k̚ ˦˥ . r o p̚ ˦˥
ดอน	d ɔː n ˧
อยา	j aː ˧
กาญจนาภิเษก	k aː n ˧ . t͡ɕ a ˨˩ . n aː ˧ . pʰ i ˦˥ . s eː k̚ ˨˩
ปริวรรต	p a ˨˩ . r i ˦˥ . w a t̚ ˦˥ . t a ˨˩ .
เมน	m eː n ˧
ก้อย	k ɔj ˥˩
สมชาย	s o m ˩˩˦ . t͡ɕʰ aːj ˧
สิถิล	s i ˨˩ . tʰ i n ˩˩˦
เอะอะ	ʔ eʔ ˨˩ . ʔ aʔ ˨˩
เกรี้ยว	k r ia̯w ˥˩
อมตภาพ	ʔ a ˨˩ . m a ˦˥ . t a ˨˩ . pʰ aː p̚ ˥˩
โม้	m oː ˦˥
ก๊าด	k aː t̚ ˦˥
ชด	t͡ɕʰ o t̚ ˦˥
เราะมะฎอน	r ɔʔ ˦˥ . m a ˦˥ . d ɔː n ˧
ขุ่นเคือง	kʰ u n ˨˩ . kʰ ɯa̯ ŋ ˧
ขอโทษ	kʰ ɔː ˩˩˦ . tʰ oː t̚ ˥˩
หุบ	h u p̚ ˨˩
นมแมว	n o m ˧ . m ɛːw ˧
แม่ม่าย	m ɛː ˥˩ . m aːj ˥˩
เมือ	m ɯa̯ ˧
วลาดีมีร์	w a ˦˥ . l aː ˧ . d iː ˧ . m iː ˧
ฝั่ง	f a ŋ ˨˩
แคนตาลูป	kʰ ɛː n ˧ . t aː ˧ . l uː p̚ ˦˥
สอบถาม	s ɔː p̚ ˨˩ . tʰ aː m ˩˩˦
อัมพร	ʔ a m ˧ . pʰ ɔː n ˧
ลุ่ม	l u m ˥˩
ขา	kʰ aː ˩˩˦
การเคารพ	k aː n ˧ . kʰ aw ˧ . r o p̚ ˦˥
แปะ	p ɛʔ ˨˩
ไฟล์	f aːj ˧
ถ้า	tʰ aː ˥˩
กริ่ง	k r i ŋ ˨˩
เชอร์รี่	t͡ɕʰ ɤː ˧ . r iː ˥˩
จุมพต	t͡ɕ u m ˧ . pʰ o t̚ ˦˥
บอลเชวิค	b ɔː n ˧ . t͡ɕʰ eː ˧ . w i k̚ ˦˥
มะแมศก	m a ˦˥ . m ɛː ˧ . s o k̚ ˨˩
อุดร	ʔ u ˨˩ . d ɔː n ˧
กลองตุ้ม	k l ɔː ŋ ˧ . t u m ˥˩
อักษรต่ำ	ʔ a k̚ ˨˩ . s ɔː n ˩˩˦ . t a m ˨˩
อาชีพ	ʔ aː ˧ . t͡ɕʰ iː p̚ ˥˩
ยำ	j a m ˧
จำนวนอดิศัย	t͡ɕ a m ˧ . n ua̯ n ˧ . ʔ a ˨˩ . d i ˨˩ . s aj ˩˩˦
โบราณสถาน	b oː ˧ . r aː n ˧ . s a ˨˩ . tʰ aː n ˩˩˦
การท่องเที่ยว	k aː n ˧ . tʰ ɔ ŋ ˥˩ . tʰ ia̯w ˥˩
คือ	kʰ ɯː
การพรากผู้เยาว์	k aː n ˧ . pʰ r aː k̚ ˥˩ . pʰ uː ˥˩ . j aw ˧
กับแกล้ม	k a p̚ ˨˩ . k l ɛː m ˥˩
กระหล่ำ	k r a ˨˩ . l a m ˨˩
มอด	m ɔː t̚ ˥˩
อัสสัม	ʔ a t̚ ˨˩ . s a m ˩˩˦
เม็กซิโกซิตี	m e k̚ ˦˥ . s i ˦˥ . k oː ˧ . s i ˦˥ . t iː ˥˩
หน้าร้อน	n aː ˥˩ . r ɔː n ˦˥
นะ	n aʔ
นักวิเคราะห์	n a k̚ ˦˥ . w i ˦˥ . kʰ r ɔʔ ˦˥
อิตเทรียม	ʔ i t̚ ˨˩ . tʰ r ia̯ m ˥˩
ชิลี	t͡ɕʰ i ˦˥ . l iː ˧
กาด	k aː t̚ ˨˩
เสน่ห์	s a ˨˩ . n eː ˨˩
ของชำ	kʰ ɔː ŋ ˩˩˦ . t͡ɕʰ a m ˧
บรรจุ	b a n ˧ . t͡ɕ u ʔ ˨˩
โต๊ะจีน	t oʔ ˦˥ . t͡ɕ iː n ˧
คอซอง	kʰ ɔː ˧ . s ɔː ŋ ˧
คละ	kʰ l aʔ ˦˥
พรรษา	pʰ a n ˧ . s aː ˩˩˦
สีสวาด	s iː ˩˩˦ . s a ˨˩ . w aː t̚ ˨˩
การยาตรา	k aː n ˧ . j aː t̚ ˥˩ . t r aː ˧
ลายสือ	l aːj ˧ . s ɯː ˩˩˦
หลักการ	l a k̚ ˨˩ . k aː n ˧
ความพิบัติ	kʰ w aː m ˧ . pʰ i ˦˥ . b a t̚ ˨˩
อสรพิษ	ʔ a ˨˩ . s ɔː ˩˩˦ . r a ˦˥ . pʰ i t̚ ˦˥
ข้าวกล้อง	kʰ aːw ˥˩ . k l ɔ ŋ ˥˩
ออกซิเจน	ʔ ɔ k̚ ˦˥ . s i ˦˥ . t͡ɕ eː n ˧
ภรรยา	pʰ a n ˧ . j aː ˧
รอยเท้า	r ɔːj ˧ . tʰ aːw ˦˥
ไนต์คลับ	n aj ˦˥ . kʰ l a p̚ ˨˩
วิสามัญ	w i ˦˥ . s aː ˩˩˦ . m a n ˧
ฆ	kʰ ɔː ˧
ทิ้ง	tʰ i ŋ ˦˥
ข้อเสนอแนะ	kʰ ɔː ˥˩ . s a ˨˩ . n ɤː ˩˩˦ . n ɛʔ ˦˥
ไหว้ครูรำมวย	w aːj ˥˩ . kʰ r uː ˧ . r a m ˧ . m ua̯j ˧
ฝ้าย	f aːj ˥˩
อัตราร้อยละ	ʔ a t̚ ˨˩ . t r aː ˧ . r ɔːj ˦˥ . l aʔ ˦˥
แสนยนิยม	s ɛː n ˩˩˦ . j a ˦˥ . n i ˦˥ . j o m ˧
จิงโจ้น้ำ	t͡ɕ i ŋ ˧ . t͡ɕ oː ˥˩ . n aː m ˦˥
ตะแลงแกง	t a ˨˩ . l ɛː ŋ ˧ . k ɛː ŋ ˧
ฤดูหนาว	rɯ ˦˥ . d uː ˧ . n aːw ˩˩˦
สิ่งทอ	s i ŋ ˨˩ . tʰ ɔː ˧
นทท.	n ɔː ˧ . tʰ ɔː ˧ . tʰ ɔː ˧
ข้าวกลางวัน	kʰ aːw ˥˩ . k l aː ŋ ˧ . w a n ˧
แผงคอ	pʰ ɛː ŋ ˩˩˦ . kʰ ɔː ˧
บุญ	b u n ˧ .
การเล่นลิ้น	k aː n ˧ . l e n ˥˩ . l i n ˦˥
กลับคืน	k l a p̚ ˨˩ . kʰ ɯː n ˧
ชั่วกัปชั่วกัลป์	t͡ɕʰ ua̯ ˥˩ . k a p̚ ˨˩ . t͡ɕʰ ua̯ ˥˩ . k a n ˧
หางม้า	h aː ŋ ˩˩˦ . m aː ˦˥
กัก	k a k
งด	ŋ o t̚ ˦˥
โบลิเวีย	b oː ˧ . l i ˦˥ . w ia̯ ˧
กากี	k a k i
ความถ่วงจำเพาะ	kʰ w aː m ˧ . tʰ ua̯ ŋ ˨˩ . t͡ɕ a m ˧ . pʰ ɔʔ ˦˥
เกลียว	k l ia̯w ˧
กรม	k r o m ˧
สหพันธรัฐ	s a ˨˩ . h a ˨˩ . pʰ a n ˧ . tʰ a ˦˥ . r a t̚ ˦˥
ทวิภาค	tʰ a ˦˥ . w i ˦˥ . pʰ aː k̚ ˥˩
หน้ากระดาน	n aː ˥˩ . k r a ˨˩ . d aː n ˧
ลานีญา	l aː ˧ . n iː ˧ . j aː ˥˩
ตะโกน	t a ˨˩ . k oː n ˧
มงคล	m o ŋ ˧ . kʰ o n ˧ . l a ˦˥ .
ตรงนั้น	t r o ŋ ˧ . n a n ˦˥
การหมดบุญ	k aː n ˧ . m o t̚ ˨˩ . b u n ˧
สนธยา	s o n ˩˩˦ . tʰ a ˦˥ . j aː ˧
ความฝัน	kʰ w aː m ˧ . f a n ˩˩˦
ผงชูรส	pʰ o ŋ ˩˩˦ . t͡ɕʰ uː ˧ . r o t̚ ˦˥
การประหารชีวิต	k aː n ˧ . p r a ˨˩ . h aː n ˩˩˦ . t͡ɕʰ iː ˧ . w i t̚ ˦˥
โค้ท	kʰ oː t̚ ˦˥
กระดิก	k r a ˨˩ . d i k̚ ˨˩
กิตติคุณ	k i t̚ ˨˩ . t i ˨˩ . kʰ u n ˧
เฉลิมพระราชมนเทียร	t͡ɕʰ a ˨˩ . l ɤː m ˩˩˦ . pʰ r a ˦˥ . r aː t̚ ˥˩ . t͡ɕʰ a ˦˥ . m o n ˧ . tʰ ia̯ n ˧
แป้ก	p ɛ k̚ ˥˩
แม่	m ɛː ˥˩
พุทธศาสนิกชน	pʰ u t̚ ˦˥ . tʰ a ˦˥ . s aː t̚ ˨˩ . s a ˨˩ . n i k̚ ˦˥ . k a ˨˩ . t͡ɕʰ o n ˧
ผลผลิตพลอยได้	pʰ o n ˩˩˦ . pʰ a ˨˩ . l i t̚ ˨˩ . pʰ l ɔːj ˧ . d aːj ˥˩
กระซิบ	k r a ˨˩ . s i p̚ ˦˥
ช้อนชา	t͡ɕʰ ɔː n ˦˥ . t͡ɕʰ aː ˧
เย็นชา	j e n ˧ . t͡ɕʰ aː ˧
รูป	r uː p̚ ˥˩ . p a ˨˩ .
การกะพริบ	k aː n ˧ . k a ˨˩ . pʰ r i p̚ ˦˥
หลอดอาหาร	l ɔː t̚ ˨˩ . ʔ aː ˧ . h aː n ˩˩˦
โทร	tʰ oː ˧
เกรด	k r eː t̚ ˨˩
คตินิยม	kʰ a ˦˥ . t i ˨˩ . n i ˦˥ . j o m ˧
ปัจจัย	p a t̚ ˨˩ . t͡ɕ aj ˧ .
การแกล้ง	k aː n ˧ . k l ɛː ŋ ˥˩
พาราเซตามอล	pʰ aː ˧ . r aː ˧ . s eː ˧ . t aː ˧ . m ɔ n ˥˩
รวม	r ua̯ m ˧
สกี	s a ˨˩ . k iː ˧
หมาง	m aː ŋ ˩˩˦
เกล็ด	k l e t̚ ˨˩
นักสเกต	n a k̚ ˦˥ . s a ˨˩ . k e t̚ ˦˥
เซ่น	s e n ˥˩
เหม่อ	m ɤː ˨˩
แคลงใจ	kʰ l ɛː ŋ ˧ . t͡ɕ aj ˧
กับดัก	k a p̚ ˨˩ . d a k̚ ˨˩
เอว	ʔ ew ˧
แบน	b ɛː n ˧
เครื่องเซ่น	kʰ rɯ a̯ ŋ ˥˩ . s e n ˥˩
ห้องอาหาร	h ɔ ŋ ˥˩ . ʔ aː ˧ . h aː n ˩˩˦
กองบัญชาการ	k ɔː ŋ ˧ . b a n ˧ . t͡ɕʰ aː ˧ . k aː n ˧
กฎหมายเอกชน	k o t̚ ˨˩ . m aːj ˩˩˦ . ʔ eː k̚ ˨˩ . k a ˨˩ . t͡ɕʰ o n ˧
อาชญา	ʔ aː t̚ ˨˩ . j aː ˧
พณิช	pʰ a ˦˥ . n i t̚ ˦˥
ชนมพรรษา	t͡ɕʰ o n ˧ . m a ˦˥ . pʰ a n ˧ . s aː ˩˩˦
ทีปังกร	tʰ iː ˧ . p a ŋ ˧ . k a ˨˩ . r a ˦˥ .
ที่รัก	tʰ iː ˥˩ . r a k̚ ˦˥
ซีรีส์	s iː ˧ . r iː ˥˩
เข้าใจ	kʰ aw ˥˩ . t͡ɕ aj ˧
รามา	r aː ˧ . m aː ˧
ฤๅทัย	rɯː ˧ . tʰ aj ˧
สามสิบเอ็ด	s aː m ˩˩˦ . s i p̚ ˨˩ . ʔ e t̚ ˨˩
ศรี	s iː ˩˩˦
ความแห้ง	kʰ w aː m ˧ . h ɛː ŋ ˥˩
ปฏิกริยา	p a ˨˩ . t i ˨˩ . k r i ˨˩ . j aː ˧
มัลดีฟส์	m a l ˧ . d iː f ˦˥
อาน	ʔ aː n ˧
การสอบ	k aː n ˧ . s ɔː p̚ ˨˩
เอื้อสังคม	ʔ ɯa̯ ˥˩ . s a ŋ ˩˩˦ . kʰ o m ˧
กานต์	k aː n ˧
ตะไกร	t a ˨˩ . k r aj ˧
ซีด	s iː t̚ ˥˩
ขันหมาก	kʰ a n ˩˩˦ . m aː k̚ ˨˩
ปลาทอง	p l aː ˧ . tʰ ɔː ŋ ˧
ใส่ไข่	s aj ˨˩ . kʰ aj ˨˩
ฝุ่นควัน	f u n ˨˩ . kʰ w a n ˧
ขนมปังกรอบ	kʰ a ˨˩ . n o m ˩˩˦ . p a ŋ ˧ . k r ɔː p̚ ˨˩
การหย่าร้าง	k aː n ˧ . j aː ˨˩ . r aː ŋ ˦˥
ธารน้ำแข็ง	tʰ aː n ˧ . n a m ˦˥ . kʰ ɛ ŋ ˩˩˦
ออฟฟิศ	ʔ ɔː p̚ ˦˥ . f i s ˦˥
กล้วย	k l ua̯j ˥˩
บุรุษ	b u ˨˩ . r u t̚ ˨˩
เถาหยวน	tʰ aw ˩˩˦ . j ua̯ n ˩˩˦
กีวี	k iː ˧ . w iː ˥˩
ไสย	s aj ˩˩˦
ประชาบดี	p r a ˨˩ . t͡ɕʰ aː ˧ . b ɔː ˧ . d iː ˧
กิโลฯ	k i ˧ . l oː ˧
ฉมบ	t͡ɕʰ a ˨˩ . m o p̚ ˦˥
ดุษฎีนิพนธ์	d u t̚ ˨˩ . s a ˨˩ . d iː ˧ . n i ˦˥ . pʰ o n ˧
